[thewall.engine.twilight.TwilightApp] [17:25:31] main/INFO ] - Initializing TEngine 1.0.6
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - 0
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:25:47] TwLight Main Thread/INFO ] - false
